source,title,price,location,size,listing_type,link
OpenSooq,Residential Land for Sale in Muscat Amerat,"33,000 OMR",", Amerat, 911195XX",,Property for Sale,https://om.opensooq.com/en/search/263694883
OpenSooq,Residential Land for Sale in Muscat Amerat,"42,000 OMR",", Amerat, 911195XX",,Property for Sale,https://om.opensooq.com/en/search/259287519
OpenSooq,Residential Land for Sale in Muscat Yenkit,"20,500 OMR",", Yenkit, 951122XX",,Property for Sale,https://om.opensooq.com/en/search/266728957
OpenSooq,Residential Land for Sale in Muscat Yenkit,"20,500 OMR",", Yenkit, 951122XX",,Property for Sale,https://om.opensooq.com/en/search/266728957
OpenSooq,450 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud,"134,500 OMR",", Al Khoud, 980055XX",450 m²,Property for Sale,https://om.opensooq.com/en/search/265857629
OpenSooq,467 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,"156,000 OMR",", Al Khoud, 980055XX",467 m²,Property for Sale,https://om.opensooq.com/en/search/263806237
OpenSooq,460 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,"157,000 OMR",", Al Khoud, 980055XX",460 m²,Property for Sale,https://om.opensooq.com/en/search/266281835
OpenSooq,Residential Land for Sale in Al Batinah Barka,"12,000 OMR",", Barka, 715560XX",,Property for Sale,https://om.opensooq.com/en/search/267001559
OpenSooq,178 m2 3 Bedrooms Townhouse for Sale in Muscat Quriyat,"65,000 OMR",", Quriyat, 995583XX",178 m²,Property for Sale,https://om.opensooq.com/en/search/266947905
OpenSooq,39000 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,"39,000 OMR",", Bosher, 722298XX",39000 m²,Property for Sale,https://om.opensooq.com/en/search/265371505
OpenSooq,130 m2 3 Bedrooms Apartments for Sale in Dhofar Salala,"39,000 OMR",", Salala, 944990XX",130 m²,Property for Sale,https://om.opensooq.com/en/search/265831125
OpenSooq,220 m2 3 Bedrooms Townhouse for Sale in Al Batinah Saham,"37,000 OMR",", Saham, 947008XX",220 m²,Property for Sale,https://om.opensooq.com/en/search/266621361
OpenSooq,للبيع ارض صناعية مساحة 2000 متر تحتوي على ورشة ومكاتب وسكن عمال + سكن مستقل لمشرف ،جاهزة للتسليم  ،,"295,000 OMR",", Misfah, 993775XX",2000 m²,Property for Sale,https://om.opensooq.com/en/search/266456781
OpenSooq,302 m2 5 Bedrooms Townhouse for Sale in Al Batinah Barka,"59,000 OMR",", Barka, 995565XX",302 m²,Property for Sale,https://om.opensooq.com/en/search/265933551
OpenSooq,Residential Land for Sale in Muscat Amerat,"9,900 OMR",", Amerat, 970008XX",,Property for Sale,https://om.opensooq.com/en/search/266086671
OpenSooq,83 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud,"32,500 OMR",", Al Khoud, 905099XX",83 m²,Property for Sale,https://om.opensooq.com/en/search/266512499
OpenSooq,61 m2 1 Bedroom Apartments for Sale in Muscat Azaiba,"24,500 OMR",", Azaiba, 991119XX",61 m²,Property for Sale,https://om.opensooq.com/en/search/266744153
OpenSooq,مطعم و مقهى لبناني كامل التجهيزات في موقع مميز في شارع الخوض شغال بمدخول جيد للبيع بسبب عدم التفرغ .,"25,000 OMR",", Al Khoud, 982346XX",135 m²,Property for Sale,https://om.opensooq.com/en/search/266449027
OpenSooq,Commercial Land for Sale in Muscat Amerat,"21,500 OMR",", Amerat, 970008XX",,Property for Sale,https://om.opensooq.com/en/search/265844459
OpenSooq,2BHK للبيع شقة في الموالح  تشطيب فندقي  بأقساط بدون فوائد,"37,600 OMR",", Al Mawaleh, 992226XX",103 m²,Property for Sale,https://om.opensooq.com/en/search/266285625
OpenSooq,66 m2 1 Bedroom Apartments for Sale in Muscat Bosher,"30,000 OMR",", Bosher, 711009XX",66 m²,Property for Sale,https://om.opensooq.com/en/search/265829567
OpenSooq,102 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,"46,500 OMR",", Bosher, 990134XX",102 m²,Property for Sale,https://om.opensooq.com/en/search/265829263
OpenSooq,138 m2 2 Bedrooms Apartments for Sale in Muscat Al Khuwair,"79,900 OMR",", Al Khuwair, 994744XX",138 m²,Property for Sale,https://om.opensooq.com/en/search/265760969
OpenSooq,86 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"142,500 OMR",", Al Mouj, 939918XX",86 m²,Property for Sale,https://om.opensooq.com/en/search/265828177
OpenSooq,82 m2 2 Bedrooms Apartments for Sale in Muscat Ghala,"33,000 OMR",", Ghala, 933322XX",82 m²,Property for Sale,https://om.opensooq.com/en/search/266085389
OpenSooq,100 m2 2 Bedrooms Apartments for Sale in Muscat Ghala,"55,000 OMR",", Ghala, 920658XX",100 m²,Property for Sale,https://om.opensooq.com/en/search/266454409
OpenSooq,Commercial Land for Sale in Al Batinah Barka,"37,000 OMR",", Barka, 933883XX",,Property for Sale,https://om.opensooq.com/en/search/266678039
OpenSooq,63 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,"25,000 OMR",", Al Mawaleh, 992226XX",63 m²,Property for Sale,https://om.opensooq.com/en/search/266452431
OpenSooq,65 m2 1 Bedroom Apartments for Sale in Muscat Ghala,"26,000 OMR",", Ghala, 955000XX",65 m²,Property for Sale,https://om.opensooq.com/en/search/266677999
OpenSooq,155 m2 4 Bedrooms Apartments for Sale in Muscat Al Maabilah,"39,000 OMR",", Al Maabilah, 927000XX",155 m²,Property for Sale,https://om.opensooq.com/en/search/266997791
OpenSooq,Residential Land for Sale in Al Batinah Barka,"20,500 OMR",", Barka, 995363XX",,Property for Sale,https://om.opensooq.com/en/search/266341817
